2019,amazing,aoc,baby,bad,beautiful,believe,best,better,birthday,bitch,cleared,damn,done,family,favorite,first,free,friend,friends,fun,game,girl,give,god,good,great,happy,hate,hi,high,home,hope,life,like,live,lol,love,money,morning,music,never,new,newyork,nice,nyfw,party,photo,play,pretty,read,ready,real,realdonaldtrump,right,shit,song,sotu,thank,thanks,TRUE,valentine,weekend,well,win,wish,women,world,wow,wrong,yes,lab_score,slang_count,exclam_count,text,date,location
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.615,0,0,b'When one of your LiL Bros HS classmates finds a pic and sends it to you\xf0\x9f\x98\xa2\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x92\x94\n\n#JohnChase #JayD #JayDDay #JiggaMan\xe2\x80\xa6 https://t.co/oB8CUNT7IH',Tue Feb 05 16:50:29 +0000 2019,"Brooklyn, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.451666667,0,0,b'@MR_FULLERSHIT @cnnbrk Exactly the same shit I was explaining to my mans.. we gonna see how this shit play out',Tue Feb 05 16:50:28 +0000 2019,"Brooklyn, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,"b""I'm Sorry miss jackson Oooo... i am for real #TheView https://t.co/cZ8ptzpeD1""",Tue Feb 05 16:50:25 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,b'His name is Patrick McGillicuddy https://t.co/3AUj8k5SO1',Tue Feb 05 16:50:25 +0000 2019,"Queens, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.112,0,0,"b'\xf0\x9f\x91\x96\xf0\x9f\xa7\xb6\xf0\x9f\xa7\xb5\xe2\x9c\x82\xef\xb8\x8f\xf0\x9f\x92\x99 #weaving @ Clinton Hill, Brooklyn https://t.co/OWHWCYlffT'",Tue Feb 05 16:50:24 +0000 2019,"Brooklyn, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.246666667,0,0,"b'@JadeGemVibe Lmao, what did I miss https://t.co/CzXt7xxHxb'",Tue Feb 05 16:50:22 +0000 2019,"Brooklyn, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4925,0,0,b'Niche interest tweet: @sketchapp released symbol override management and my obsessive compulsive self is VERY EXCITED ABOUT IT',Tue Feb 05 16:50:22 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,0,b'@newyorkshuffler @kaseydillaNguac \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',Tue Feb 05 16:50:21 +0000 2019,"Queens, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.192727273,2,0,"b'""A company used to be encouraged to return money to shareholders when it couldn\'t reinvest in itself for a good ret\xe2\x80\xa6 https://t.co/uUrd7AsL47'",Tue Feb 05 16:50:19 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.523333333,0,0,"b'Nueva York, Los esperamos\nEl Domingo 17 de Febrero en @saborlatinoNY\n\nPara un Show muy especial junto a\xe2\x80\xa6 https://t.co/plXPLWETtd'",Tue Feb 05 16:50:18 +0000 2019,"Queens, NY"
